University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Spelman College;;Atlanta;GA;Georgia;Private;Southeast (Deep South);;City: Large;1K - 9K;Women's;Yes;Arts and Sciences;Exclusively;On-campus;1-Historically;$20.000;$31.556;$18.091;$53.647;;Both;13;93%;$32.665;$17.686;$0.4m;No;Full ride;Presidential and Dovey Johnson Roundtree Scholarship;https://www.spelman.edu/admissions/financial-aid/scholarships;"These are highly competitive, premier scholarships. Students are selected from the top of the applicant pool. No separate application is required; consideration is automatic with the admission application.";$0;$4.000;Automatic consideration;34,1%;25,3%;20%;9%;221;56;5;16,3%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Spelman College;https://www.spelman.edu;Atlanta;GA;Georgia;Private;Southeast (Deep South);;City: Large;1K - 9K;Women's;Yes;Arts and Sciences;Exclusively;On-campus;1-Historically;$20.000;$31.556;$18.091;$53.647;24-25;Both;13;93%;$32.665;$17.686;$0.4m;No;Full ride;Presidential and Dovey Johnson Roundtree Scholarship;https://www.spelman.edu/admissions/financial-aid/scholarships;"These are highly competitive, premier scholarships. Students are selected from the top of the applicant pool. No separate application is required; consideration is automatic with the admission application.";$0;$4.000;Automatic consideration;34,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Spring Hill College;https://www.shc.edu;Mobile;AL;Alabama;Private;Southeast (Deep South);;City: Midsize;<1K;Coeducational;No;Balanced;Very High;On-campus;3-Somewhat;;$24.054;$12.040;$40.094;24-25;Merit;86;97%;$23.363;;$2.0m;No;$10.000;Presidential Scholarships;https://www.shc.edu/admissions-aid/tuition-financial-aid/net-price-calculator/;The link is to a calculator. However, the college website confirms that merit-based awards, like the Presidential Scholarship, are Automatically Awardeded to accepted students based on their academic profile.;$14.054;$30.094;Automatic consideration;59%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Cloud State University;https://www.stcloudstate.edu;Saint Cloud;MN;Minnesota;Public;Midwest (Great Plains);;City: Small;10K - 20K;Coeducational;No;Professional;High;On-campus;0-None;;$8.812;$8.494;$21.306;23-24;Merit;;;;;;No;OOS waiver;Cultural Sharing Scholarship;https://www.stcloudstate.edu/internationalstudents/scholarships/acss.aspx;A competitive scholarship that reduces tuition. Requires a separate application, essay, and a commitment to completing cultural sharing hours each semester.;$8.812;$21.306;Unclear;94,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. John Fisher University;;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;Suburb: Large;1K - 9K;Coeducational;No;Professional;High;On-campus;3-Somewhat;$40.000;$41.190;$14.908;$60.098;;Merit;14;100%;$20.986;$37.022;$0.3m;No;;;;;;TBD;Unclear;68%;;20%;-;;-;-;68%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
St. John Fisher University;https://www.sjf.edu;Rochester;NY;New York;Private;Northeast (Mid-Atlantic);;Suburb: Large;1K - 9K;Coeducational;No;Professional;High;On-campus;3-Somewhat;$40.000;$41.190;$14.908;$60.098;24-25;Merit;14;100%;$20.986;$37.022;$0.3m;No;;;;;;TBD;Unclear;68%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. John's College-Annapolis, MD;;Annapolis;MD;Maryland;Private;Northeast (Mid-Atlantic);Washington, DC;Suburb: Large;<1K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$35.000;$40.684;$15.908;$60.592;;Both;71;97%;$24.964;$33.146;$1.8m;No;;;;;;TBD;Unclear;44%;24%;28%;-;;-;;39%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
St. John's College-Annapolis, MD;https://www.sjc.edu;Annapolis;MD;Maryland;Private;Northeast (Mid-Atlantic);Washington, DC;Suburb: Large;<1K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$35.000;$40.684;$15.908;$60.592;24-25;Both;71;97%;$24.964;$33.146;$1.8m;No;;;;;;TBD;Unclear;44%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. John's College-Santa Fe, NM;;Santa Fe;NM;New Mexico;Private;Southwest;;Rural: Fringe;<1K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$30.000;$40.930;$16.088;$61.018;;Both;47;98%;$31.310;$27.104;$1.5m;No;;;;;;TBD;Unclear;49%;25%;34%;-;;-;;36%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
St. John's College-Santa Fe, NM;https://www.sjc.edu/santa-fe;Santa Fe;NM;New Mexico;Private;Southwest;;Rural: Fringe;<1K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$30.000;$40.930;$16.088;$61.018;24-25;Both;47;98%;$31.310;$27.104;$1.5m;No;;;;;;TBD;Unclear;49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
St. John's University-New York;;Queens;NY;New York;Private;Northeast (Mid-Atlantic);New York City;City: Large;10K - 20K;Coeducational;No;Professional;High;On-campus;3-Somewhat;$40.000;$53.020;$20.530;$77.550;;Both;321;66%;$36.954;$37.082;$11.9m;No;Full Tuition;International Merit Scholarship;https://www.stjohns.edu/admission/international-admission;All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is needed.;$0;$24.530;Automatic consideration;80%;;13%;-;;-;;80%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
St. John's University-New York;https://www.stjohns.edu;Queens;NY;New York;Private;Northeast (Mid-Atlantic);New York City;City: Large;10K - 20K;Coeducational;No;Professional;High;On-campus;3-Somewhat;$40.000;$53.020;$20.530;$77.550;24-25;Both;321;66%;$36.954;$37.082;$11.9m;No;Full Tuition;International Merit Scholarship;https://www.stjohns.edu/admission/international-admission;All international applicants are automatically considered for merit-based scholarships at the time of admission. No separate application is needed.;$0;$24.530;Automatic consideration;80%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Lawrence University;;Canton;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Remote;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$40.000;$65.900;$17.000;$86.900;;Both;162;83%;$48.613;$35.737;$9.3m;No;Full Tuition;International Scholarships;https://www.stlawu.edu/admissions/financial-aid-scholarships/financial-aid/financial-aid-international-students;The university offers both merit-based and need-based scholarships to international students. Consideration for merit awards is automatic upon admission. The CSS Profile is required for need-based aid.;$0;$21.000;Automatic consideration;58,5%;;17%;-;;-;-;58%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
St. Lawrence University;https://www.stlawu.edu;Canton;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Remote;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$40.000;$65.900;$17.000;$86.900;24-25;Both;162;83%;$48.613;$35.737;$9.3m;No;Full Tuition;International Scholarships;https://www.stlawu.edu/admissions/financial-aid-scholarships/financial-aid/financial-aid-international-students;The university offers both merit-based and need-based scholarships to international students. Consideration for merit awards is automatic upon admission. The CSS Profile is required for need-based aid.;$0;$21.000;Automatic consideration;58,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Mary's College IN;;Notre Dame;IN;Indiana;Private;Midwest (Great Lakes);;Suburb: Large;1K - 9K;Women's;No;Balanced;Very High;On-campus;3-Somewhat;$30.000;$53.230;$14.260;$71.490;;Both;14;100%;$43.834;$25.446;$0.6m;No;;;;;;TBD;Unclear;81,1%;40,7%;22%;16%;108;44;7;81,5%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
St. Mary's College IN;https://www.saintmarys.edu;Notre Dame;IN;Indiana;Private;Midwest (Great Lakes);;Suburb: Large;1K - 9K;Women's;No;Balanced;Very High;On-campus;3-Somewhat;$30.000;$53.230;$14.260;$71.490;24-25;Both;14;100%;$43.834;$25.446;$0.6m;No;;;;;;TBD;Unclear;81,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
St. Mary's College of Maryland;;St. Marys City;MD;Maryland;Public;Northeast (Mid-Atlantic);;Rural: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;0-None;$45.000;$31.312;$15.244;$50.556;;Merit;4;80%;$7.768;$42.216;$0.0m;No;$18.000;St Mary's Scholarship;https://www.smcm.edu/osfa/types/scholarships/;All students are automatically considered for merit-based scholarships upon admission based on their academic record. No separate application is required.;$13.312;$32.556;Automatic consideration;75,4%;13,0%;19%;20%;77;10;2;58%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
St. Mary's College of Maryland;https://www.smcm.edu;St. Marys City;MD;Maryland;Public;Northeast (Mid-Atlantic);;Rural: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;0-None;$45.000;$31.312;$15.244;$50.556;24-25;Merit;4;80%;$7.768;$42.216;$0.0m;No;$18.000;St Mary's Scholarship;https://www.smcm.edu/osfa/types/scholarships/;All students are automatically considered for merit-based scholarships upon admission based on their academic record. No separate application is required.;$13.312;$32.556;Automatic consideration;75,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Mary’s University (Texas);https://www.stmarytx.edu;San Antonio;TX;Texas;Private;South (Central);Austin, TX;City: Large;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;3-Somewhat;$25.000;$37.434;$12.894;$54.328;24-25;Merit;10;07%;$31.006;$20.956;$1.3m;No;Full Tuition;Greehey Scholars Program;https://www.stmarytx.edu/academics/business/programs-and-centers/greehey-scholars-program/;A premier program for business majors. Requires a separate, competitive application process including an on-campus interview.;$0;$16.894;Requires application;89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
St. Mary's University of Minnesota;https://www.smumn.edu;Winona;MN;Minnesota;Private;Midwest (Great Plains);;Town: Distant;1K - 9K;Coeducational;No;Professional;Minority;On-campus;3-Somewhat;;$45.080;$11.200;$60.280;24-25;Both;26;100%;$27.235;;$0.7m;No;$28.000;International Student Scholarships;https://www.smumn.edu/admission/undergraduate/international-undergraduate-students/;All admitted international students are automatically considered for merit-based scholarships. No separate application is required.;$17.080;$32.280;Automatic consideration;89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Norbert College;https://www.snc.edu;De Pere;WI;Wisconsin;Private;Midwest (Great Lakes);;Suburb: Midsize;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;4-Moderately;$35.000;$45.580;$14.004;$63.584;24-25;Both;27;87%;$29.721;$31.409;$0.8m;No;$27.000;George Washington Scholar;https://www.snc.edu/cge/undergraduatestudents/scholarships.html;The top competitive scholarship. Requires a separate application after admission. Finalists are invited to an on-campus competition.;$18.580;$36.584;Automatic consideration;92%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
St. Olaf College;;Northfield;MN;Minnesota;Private;Midwest (Great Plains);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;$15.000;$59.760;$13.630;$77.390;;Both;303;100%;$61.593;$12.377;$18.7m;Yes (Need-aware);$30.000;Buntrock Scholarship;https://wp.stolaf.edu/admissions/afford/scholarships/;St. Olaf's highest academic merit award. All applicants are automatically considered based on their admission application. No separate application is required.;$29.760;$47.390;Automatic consideration;52,1%;21%;27%;-;;-;-;42,5%;;Both;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
St. Olaf College;https://www.stolaf.edu;Northfield;MN;Minnesota;Private;Midwest (Great Plains);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;$15.000;$59.760;$13.630;$77.390;24-25;Both;303;100%;$61.593;$12.377;$18.7m;Yes (Need-aware);$30.000;Buntrock Scholarship;https://wp.stolaf.edu/admissions/afford/scholarships/;St. Olaf's highest academic merit award. All applicants are automatically considered based on their admission application. No separate application is required.;$29.760;$47.390;Automatic consideration;52,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Stanford University;;Stanford;CA;California;Private;West Coast;SF/Silicon Valley;Suburb: Large;10K - 20K;Coeducational;No;Arts and Sciences;Minority;On-campus;0-None;$15.000;$65.910;$21.315;$91.225;;Need;248;2700%;$75.756;$10.650;$18.8m;Yes (Need-aware);;;;;;;Unclear;4%;;81%;-;;-;-;4%;;Restricted Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Stanford University;;Stanford;CA;California;Private;West Coast;SF/Silicon Valley;Suburb: Large;10K - 20K;Coeducational;No;Arts and Sciences;Minority;On-campus;0-None;$15.000;$65.910;$21.315;$91.225;;Need;248;27%;$75.756;$10.650;$18.8m;Yes (Need-aware);;;;;;;;4%;;81%;;;;;;4%;Restricted Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;global_top_224;;international_playlist
Stanford University;;Stanford;CA;California;Private;West Coast;SF/Silicon Valley;Suburb: Large;10K - 20K;Coeducational;No;Arts and Sciences;Minority;On-campus;0-None;$15.000;$65.910;$21.315;$91.225;24-25;Need;248;27%;$75.756;$10.650;$18.8m;Yes (Need-aware);;;;;;;;4%;;81%;-;;-;-;4%;2027;Restricted Early Action Only;;;;;;;;;Optional;47%;22%;1540;770;800;740;780;34;35;35;32;35;35;36;34;36;33;36;CDS24;69%;91%;95%;27%;1%;;;;;;;;;;;;;;;;;;23-24;4;2;1;5;3;4;90,1;;244;60,8;1;3;5;10;;4;1;Yes;12;;16;5;12;;11;Legal;No limit;7,0;45,2;15;;generous_aid;affordable;;;international_playlist
Stanford University;https://www.stanford.edu;Stanford;CA;California;Private;West Coast;SF/Silicon Valley;Suburb: Large;10K - 20K;Coeducational;No;Arts and Sciences;Minority;On-campus;0-None;$15.000;$65.910;$21.315;$91.225;24-25;Need;248;27%;$75.756;$10.650;$18.8m;Yes (Need-aware);;;;;;;Unclear;4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Stephen F. Austin State University;https://www.sfasu.edu;Nacogdoches;TX;Texas;Public;South (Central);;Town: Remote;10K - 20K;Coeducational;No;Balanced;Very High;On-campus;0-None;$30.000;$23.428;$13.144;$40.572;23-24;Merit;29;48%;$7.052;$28.770;$0.2m;No;OOS waiver;Mexico out-of-state tuition waiver program;https://www.sfasu.edu/admissions-and-aid/financial-aid/types-of-aid/scholarships;This is a program that allows eligible citizens and residents of Mexico to pay in-state tuition. It is not a scholarship. A separate application is required.;$11.128;$28.272;Automatic consideration;88,3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Stetson University;;DeLand;FL;Florida;Private;Southeast;;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;2-Slightly;$20.000;$57.410;$17.728;$79.138;;Both;189;96%;$56.653;$18.597;$10.7m;No;Full ride;J Ollie Edmunds Scholarship;https://www.stetson.edu/administration/financial-aid/scholarships/j-ollie-edmunds/;A premier, full-cost-of-attendance scholarship. Requires a separate nomination and application process. Focuses on academic excellence, leadership, and character.;$0;$4.000;Requires application;86,4%;57,1%;9%;11%;1049;599;66;87%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Stetson University;https://www.stetson.edu;DeLand;FL;Florida;Private;Southeast;;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;2-Slightly;$20.000;$57.410;$17.728;$79.138;24-25;Both;189;96%;$56.653;$18.597;$10.7m;No;Full ride;J Ollie Edmunds Scholarship;https://www.stetson.edu/administration/financial-aid/scholarships/j-ollie-edmunds/;A premier, full-cost-of-attendance scholarship. Requires a separate nomination and application process. Focuses on academic excellence, leadership, and character.;$0;$4.000;Requires application;86,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Stevens Institute of Technology;;Hoboken;NJ;New Jersey;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$65.000;$63.462;$19.124;$86.586;;Merit;88;66%;$18.858;$64.744;$1.7m;No;Full Tuition;Ann P. Neupauer and Global Scholarships;https://www.stevens.edu/page-basic/stevens-scholarships;The Ann P. Neupauer Scholarship is a full-tuition award for women in engineering or computer science. The Global Scholarship is for international students. Both require a separate application after admission.;$0;$23.124;Automatic consideration;4,4%;27,4%;17%;11%;1548;424;46;43%;;Both;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Stevens Institute of Technology;https://www.stevens.edu;Hoboken;NJ;New Jersey;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$65.000;$63.462;$19.124;$86.586;24-25;Merit;88;66%;$18.858;$64.744;$1.7m;No;Full Tuition;Ann P. Neupauer and Global Scholarships;https://www.stevens.edu/page-basic/stevens-scholarships;The Ann P. Neupauer Scholarship is a full-tuition award for women in engineering or computer science. The Global Scholarship is for international students. Both require a separate application after admission.;$0;$23.124;Automatic consideration;4,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Stockton University;https://www.stockton.edu;Galloway;NJ;New Jersey;Public;Northeast (Mid-Atlantic);Philadelphia, PA;Rural: Fringe;5K - 10K;Coeducational;No;Balanced;Very High;On-campus;0-None;$30.000;$24.122;$15.834;$43.956;24-25;Merit;44;81%;$15.252;$27.500;$0.7m;No;;;;;;TBD;Unclear;88%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Stonehill College;;easton;MA;Massachusetts;Private;Northeast (New England);;Suburb: Large;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;3-Somewhat;$45.000;$57.490;$16.020;$77.510;;Merit;36;79%;$30.562;$42.138;$1.1m;No;not specified;Moreau Honors Scholarship;https://www.stonehill.edu/offices-and-services/financial-aid/undergraduate-students/how-to-apply-for-financial-aid/international-students/;Top applicants are invited to the Moreau Honors Program, which includes a scholarship. Consideration is automatic with the admission application. Other Merit Scholarships are also awarded automatically.;;;;73%;42%;11%;-;;-;;73%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Stonehill College;https://www.stonehill.edu;easton;MA;Massachusetts;Private;Northeast (New England);;Suburb: Large;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;3-Somewhat;$45.000;$57.490;$16.020;$77.510;24-25;Merit;36;79%;$30.562;$42.138;$1.1m;No;not specified;Moreau Honors Scholarship;https://www.stonehill.edu/offices-and-services/financial-aid/undergraduate-students/how-to-apply-for-financial-aid/international-students/;Top applicants are invited to the Moreau Honors Program, which includes a scholarship. Consideration is automatic with the admission application. Other Merit Scholarships are also awarded automatically.;;;;73%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Suffolk University;;Boston;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Large;5K - 10K;Coeducational;No;Balanced;Majority;On-campus;0-None;$55.000;$47.550;$21.326;$72.876;;Merit;368;68%;$16.903;$52.039;$6.2m;No;not specified;;;;;;;85%;79%;14%;-;;-;;78%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Suffolk University;https://www.suffolk.edu;Boston;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Large;5K - 10K;Coeducational;No;Balanced;Majority;On-campus;0-None;$55.000;$47.550;$21.326;$72.876;24-25;Merit;368;68%;$16.903;$52.039;$6.2m;No;not specified;;;;;;;85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
